90,77.14,1.73,0.08,20,8,0.43,10,40,495,12,0.32,0.129,0.283,0.9,0,0.086,0.014,0.13,0.48,0.209,12,0,0,0,0.018,0.003,0.036
91,72.66,7.02,0.38,19.15,27,1.4,48,99,266,2,0.84,0.156,0.298,2.5,1,0.164,0.061,0.577,0.41,0.067,159,0,1,0,0.116,0.054,0.128
92,93.39,2.03,0.09,4.19,12,0.65,14,28,101,10,0.47,0.122,0.14,0.6,11.4,0.05,0.102,0.817,0.243,0.054,29,0,1,0,0.025,0.012,0.032
93,72.51,7.54,0.55,18.34,53,1.75,63,156,231,7,0.83,0.139,0.412,2.5,1,0.15,0.075,1.5,0.433,0.058,94,0,2,0,0.038,0.029,0.359
94,83.48,1.56,0.22,14.39,3,0.44,14,29,117,4,1.33,0.896,0.204,24.8,0.3,0.037,0.17,1.5,3.594,0.159,21,0,0,0,0.05,0.07,0.034
95,91.08,2.17,0.47,5.29,6,1.74,12,87,356,2,0.87,0.504,0.115,11.9,4,0.073,0.3,4.46,2.16,0.095,18,0,0,0,0.061,0.008,0.183
96,91.78,2.56,0.47,4.51,118,0.87,13,42,162,9,0.22,0.146,0,0.6,25.3,0.041,0.063,0.433,0.12,0.098,9,0,618,0,0.012,0.11,0.046
97,94.5,1.7,0.2,2.8,158,0.8,7,18,285,14,0.11,0.05,0.27,0.6,65,0.041,0.062,0.43,0.119,0.097,73,0,410,0,0,0,0
98,94.8,1.3,0.17,2.13,48,0.66,32,22,102,107,0.31,0.077,0.526,0.9,16,0.03,0.107,0.39,0.256,0.237,8,0,0,0,0.027,0.005,0.071
99,73.01,5.06,0.1,21.44,4,0.48,9,25,35,60,0.12,0.008,0.374,0,0,0.094,0.026,0.51,0.235,0.04,7,0,0,0,0.019,0.026,0.031
100,67.91,4,0.18,27.54,8,0.52,2,27,29,161,0.22,0.025,0.251,0,0,0.02,0.033,0.097,0.172,0.013,2,0,0,0,0.025,0.021,0.073
101,94.31,1.35,0.05,3.28,164,0.5,47,16,195,20,0.21,0.049,0.408,0.7,5.3,0.011,0.04,0.296,0.15,0.067,3,0,22,0,0.006,0.007,0.021
102,61.57,2.88,0.76,33.64,12,0.97,58,66,306,2,0.6,0.249,1.097,0,24.7,0.11,0.123,0.548,0.381,0.281,46,0,7,0,0.112,0.399,0.197
103,68.15,2,1.38,27.76,46,1.73,54,99,715,27,0.25,0.472,0.854,0,26.7,0.148,0.104,0.731,0.316,0.233,38,0,1,0,0.26,0.476,0.545
104,86.03,0.82,0.19,12.64,11,0.53,18,26,119,5,0.4,0.204,0.576,0,9.5,0.125,0.059,0.543,0.075,0.102,17,0,1,0,0.028,0.101,0.05
105,84,3.21,0.86,11.44,10,0.88,40,119,92,1,0.53,0.066,0.964,7.7,0,0.16,0.034,0.144,0.217,0.025,6,0,0,0,0.163,0.291,0.339
106,92.57,1.87,0.21,4.51,77,0.28,36,32,135,6,0.43,0.085,0.294,0.4,16.3,0.132,0.055,0.871,0.213,0.187,46,0,14,0,0.045,0.028,0.046
